	headline	url	date
0	"
Την Ιατρική επιλέγει ο Δημήτρης από τη Ναύπακτο που «σάρωσε» στις Πανελλαδικές μετά τον χαμό των γονιών του
"	https://www.protothema.gr/greece/article/1142103/naupaktos-suginei-o-dimitris-pou-sarose-stis-panelladikes-meta-ton-hamo-ton-gonion-tou-ekeinoi-mou-edosan-dunami/	2021-07-11T12:04:00+03:00
1	"
Τον πρώτο φετινό θάνατο από Covid ανακοίνωσαν στην Αυστραλία
"	https://www.protothema.gr/koronoios-live/article/1142089/koronoios-ton-proto-fetino-thanato-apo-covid-anakoinosan-stin-australia/	2021-07-11T10:29:28+03:00
2	"
Σαρηγιάννης: 18.000 κρούσματα ημερησίως τον Οκτώβριο αν δεν επιταχύνουμε τους εμβολιασμούς
"	https://www.protothema.gr/koronoios-live/article/1142080/koronoios-sarigiannis-18000-krousmata-imerisios-ton-oktovrio-an-den-epitahunoume-tous-emvoliasmous/	2021-07-11T09:52:00+03:00
3	"
Η επιστροφή των rave πάρτι των 90s και ο εφιάλτης του COVID-19
"	https://www.protothema.gr/greece/article/1141979/i-epistrofi-ton-rave-parti-ton-90s-kai-o-efialtis-tou-covid-19/	2021-07-11T08:11:33+03:00
4	"
Η Βόρεια Κορέα απέρριψε το εμβόλιο της AstraZeneca - Εμβολιάστηκε ο Κιμ Γιονγκ Ουν;
"	https://www.protothema.gr/world/article/1142042/i-voreia-korea-aperripse-to-emvolio-tis-astrazeneca-emvoliastike-o-kim-giong-oun/	2021-07-10T21:38:00+03:00
5	"
Εμβόλια για τον κορωνοϊό: Προστατεύουν σε ποσοστό 100% από επιπλοκές και θανάτους, σύμφωνα με έρευνα
"	https://www.protothema.gr/koronoios-live/article/1141965/emvolia-gia-ton-koronoio-ereuna-prostateuoun-se-pososto-100-apo-epiplokes-kai-thanatous/	2021-07-10T14:01:10+03:00
6	"
Συναγερμός για κρούσματα σε 4 κατασκηνώσεις - Νέα «έξαρση» στο Σοφικό Κορινθίας με έξι παιδιά θετικά στον ιό!
"	https://www.protothema.gr/greece/article/1141958/sunagermos-gia-krousmata-se-4-kataskinoseis-exarsi-kai-sto-sofiko-korinthias-me-6-paidia-thetika-ston-io/	2021-07-10T13:11:00+03:00
7	"
Ο Χάνκοκ για πρώτη φορά σε δημόσια θέα μετά το ερωτικό σκάνδαλο με τη βοηθό του
"	https://www.protothema.gr/world/article/1141937/vretania-o-hankok-gia-proti-fora-se-dimosia-thea-meta-to-skandalo-me-ti-voitho-tou/	2021-07-10T11:28:51+03:00
8	"
Τζανάκης: Τον Αύγουστο στο πιθανότερο σενάριο 4.000 κρούσματα ημερησίως, στο χειρότερο ακόμα και 6.000
"	https://www.protothema.gr/greece/article/1141894/metallaxi-delta-tzanakis-ton-augousto-sto-pithanotero-senario-4000-krousmata-imerisios-sto-heirotero-akoma-kai-6000/	2021-07-10T08:49:00+03:00
9	"
Μετάλλαξη Δέλτα: Το σχέδιο της κυβέρνησης για να μη χαθεί η «μάχη των νησιών» - Τι θα γίνει αν κάποιο γίνει «κόκκινο»
"	https://www.protothema.gr/politics/article/1141798/metallaxi-delta-to-shedio-tis-kuvernisis-gia-na-mi-hathei-i-mahi-ton-nision-ti-tha-ginei-an-kapoio-ginei-kokkino/	2021-07-09T21:28:00+03:00
10	"
Κρήτη: «Μαϊμού» η καταγγελία για την κλοπή 850.000 ευρώ από έπαυλη Ρώσου μεγιστάνα
"	https://www.protothema.gr/greece/article/1141847/kriti-maimou-i-kataggelia-gia-tin-klopi-850000-euro-apo-epauli-rosou-megistana/	2021-07-09T20:38:54+03:00
11	"
Φεστιβάλ Καννών: Όταν έκλαψε ο Ματ Ντέιμον - Βίντεο
"	https://www.protothema.gr/culture/article/1141808/festival-kannon-otan-eklapse-o-mat-deimon-video/	2021-07-09T18:54:00+03:00
12	"
Αυστρία: Επιμένει η κυβέρνηση στη χαλάρωση των μέτρων παρά την εξάπλωση της μετάλλαξη Δέλτα
"	https://www.protothema.gr/world/article/1141804/austria-epimenei-i-kuvernisi-sti-halarosi-ton-metron-para-tin-exaplosi-tis-metallaxi-delta/	2021-07-09T18:31:41+03:00
13	"
Σύψας: Το καλοκαίρι του 2022 τελειώνουμε με τον κορωνοϊό - Φθινόπωρο θα κολλήσουν οι ανεμβολίαστοι
"	https://www.protothema.gr/koronoios-live/article/1141739/supsas-to-kalokairi-tou-2022-teleionoume-me-ton-koronoio-fthinoporo-tha-kollisoun-oi-anemvoliastoi/	2021-07-09T15:24:00+03:00
14	"
Βρετανία: Ραγδαία αύξηση 32% στα κρούσματα με μετάλλαξη Δέλτα σε μία εβδομάδα
"	https://www.protothema.gr/world/article/1141714/koronoios-vretania-auxisi-32-se-mia-evdomada-sta-krousmata-me-ti-metallaxi-delta/	2021-07-09T14:16:00+03:00
15	"
Οργισμένοι οι χορηγοί των Ολυμπιακών Αγώνων για την απουσία φιλάθλων από τα γήπεδα
"	https://www.protothema.gr/sports/article/1141701/olubiakoi-agones-tokio-orgismenoi-oi-horigoi-gia-tin-apousia-filathlon-apo-ta-gipeda/	2021-07-09T13:46:00+03:00
16	"
Γιάννης Δράγνης: Γιατί έχουμε άλμα στις διακοπές με superyachts 
"	https://www.protothema.gr/greece/article/1141101/alma-stis-diakopes-me-superyachts/	2021-07-09T12:47:00+03:00
17	"
Άντονι Φάουτσι: «Ανεμβολίαστο το 99,2% των ασθενών με κορωνοϊό που κατέληξαν τον Ιούνιο στις ΗΠΑ»
"	https://www.protothema.gr/world/article/1141664/koronoios-ipa-anemvoliasto-to-992-ton-asthenon-pou-katelixan-ton-iounio-leei-o-faoutsi/	2021-07-09T12:26:00+03:00
18	"
Πιερρακάκης: Από τις 15 Ιουλίου η εφαρμογή για τον έλεγχο του Covid Pass στην εστίαση - Πώς θα λειτουργεί
"	https://www.protothema.gr/greece/article/1141647/pierrakakis-apo-tis-15-iouliou-i-efarmogi-gia-ton-elegho-tou-covid-pass-stin-estiasi-pos-tha-leitourgei/	2021-07-09T11:41:00+03:00
19	"
Ανάρπαστες οι «πορτοκαλί χώρες» για τους Βρετανούς - Τριπλασιάστηκαν οι κρατήσεις για Ελλάδα!
"	https://www.protothema.gr/world/article/1141625/tourismos-vretania-anarpastes-oi-portokali-hores-logo-arsis-tis-karadinas-triplasiastikan-oi-kratiseis-gia-ellada/	2021-07-09T11:07:00+03:00
20	"
Στο 83,5% η αποτελεσματικότητα του CoronaVac κατά της Covid στην Τουρκία
"	https://www.protothema.gr/koronoios-live/article/1141584/koronoios-sto-835-i-apotelesmatikotita-tou-coronavac-kata-tis-covid-stin-tourkia/	2021-07-09T09:30:00+03:00
